SPEELPLEKCODE,STRAAT,WIJK,DOELGROEP,afstand_m
1090,Vosbergendam,Beverwaard,Sport- en Speel,61.3
10685,Spartapark-Oost,Spangen,Sport- en Speel,61.3
12079,Wolphaertshof,Oud Charlois,Sport- en Speel,61.4
420,Van Marumhof,Zestienhoven,Pocketpark,61.5
147,Henk Sneevlietstraat,Hoogvliet Zuid,Speelplekje,61.6
958,Spartapark-West,Spangen,Centrale Ontmoe,61.6
684,Francina Molen,Struisenburg,Speelplekje,61.7
413,Stichtseplein,Hillesluis,Sport- en Speel,61.7
11784,Bas Jungeriusstraat,Tarwewijk,Restruimte,61.7
11782,Bas Jungeriusstraat,Tarwewijk,Restruimte,61.8
516,Grondherenstraat,Oud Charlois,Pocketpark,61.8
218,Lavasweg,Hoogvliet Noord,Sport- en Speel,61.9
10959,Dalenoord,Groot IJsselmonde,Sport- en Speel,62.1
698,Francina Molen,Struisenburg,Pocketpark,62.1
810,Delfgaauwstraat,Liskwartier,Restruimte,62.4
805,Vletstraat,Oude Noorden,Speelplekje,62.5
11149,Hoekse Brink,Dorp,Sport- en Speel,62.6
12296,Schuttersweg,Oud Crooswijk,Sport- en Speel,63.0
10046,Nudenoord,Groot IJsselmonde,Sport- en Speel,63.2
1086,Schaloenstraat,Oud IJsselmonde,Pocketpark,63.2
10488,Van der Helmstraat,Het Lage Land,Pocketpark,63.2
815,doctor Hekmanstraat,Liskwartier,Pocketpark,63.2
794,Willebrordusplein,Liskwartier,Speelplekje,63.4
10810,Wilgenstraat,Oude Noorden,Sport- en Speel,63.9
1204,Trompetbloem,Ommoord,Sport- en Speel,64.1
402,Pantserstraat,Hillesluis,Sport- en Speel,64.3
134,Gerard Wilschutpad,Hoogvliet Zuid,Sport- en Speel,64.3
899,Hogenbanweg,Oud Mathenesse,Centrale Ontmoe,64.3
10418,Mistralstraat,Oud IJsselmonde,Speelplekje,65.0
868,Sikkelstraat,Vreewijk,Pocketpark,65.1
12267,Couwenburg,Stadsdriehoek,Speelplekje,65.2
1013,Martinplein,Oud Crooswijk,Sport- en Speel,65.2
1113,Schuttersweg,Oud Crooswijk,Sport- en Speel,65.7
966,Spiegelstraat,Spangen,Pocketpark,66.0
939,Vredenoordplein,Kralingen West,Sport- en Speel,66.0
12053,Velsenluststraat,Middelland,,66.0
10567,Schilperoortstraat,Oud Charlois,Sport- en Speel,66.0
452,Meyenhage,Zuidwijk,Pocketpark,66.1
12177,Boulevard,Rozenburg,Centrale Ontmoe,66.2
526,Slotboomplein,Oud Charlois,Sport- en Speel,66.2
895,Italiaansestraat,Oud Mathenesse,Sport- en Speel,66.2
11065,Walhallalaan,Katendrecht,Sport- en Speel,66.3
11683,Baarsweg,Hoogvliet Zuid,Pocketpark,66.4
595,President J.V. Wierdsmastraat,Dorp,Pocketpark,66.5
10870,Zevenkampse Ring,Zevenkamp,Sport- en Speel,66.9
11053,Schiemond[WATER],Schiemond,Sport- en Speel,67.2
10715,Air Commodore Geddespad,Terbregge,Pocketpark,67.6
11093,Groeneweg,Nesselande,Sport- en Speel,67.7
10151,Kleinpolderkade,Kleinpolder,Sport- en Speel,67.8
1513,Pelmolenstraat,Oud IJsselmonde,Sport- en Speel,67.9
11137,Marinus van Elswijkkade,Nesselande,Pocketpark,68.0
10430,Glinthorst,Zuidwijk,Sport- en Speel,68.4
673,Spijkenissestraat,Tarwewijk,Pocketpark,68.6
10402,Varkenoordsepark,Vreewijk,Speelplekje,68.9
1337,Van Heukelomstraat,Het Lage Land,Pocketpark,69.2
11411,Zijdewindestraat,Oude Westen,Sport- en Speel,69.3
1520,De Graeffstraat,Blijdorp,Pocketpark,69.5
12175,Beatrice Woodstraat,Nesselande,Sport- en Speel,69.7
777,Speedwellstraat,Schiemond,Centrale Ontmoe,70.0
12107,Pinksterweide,Vreewijk,Restruimte,70.3
1413,Adrianaplein,Oude Westen,Sport- en Speel,70.8
1477,Kruisherenstraat,Groot IJsselmonde,Sport- en Speel,70.9
837,Stroveer,Oude Noorden,Sport- en Speel,71.3
767,Schans,Bospolder,Sport- en Speel,71.4
11569,Korte Kruisweg,Rozenburg,Sport- en Speel,71.5
1045,Jan van Avennesstraat,Middelland,Pocketpark,71.5
858,Zaagmolenkade,Oude Noorden,Sport- en Speel,71.9
1341,Mertensstraat,Het Lage Land,Pocketpark,72.1
10072,De Klerkstraat,Het Lage Land,Pocketpark,72.2
992,Schelfplein,Nieuwe Westen,Sport- en Speel,72.5
11714,Francis Picabiastraat,Nesselande,Pocketpark,72.6
521,Van Langendonckstraat,Lombardijen,Speelplekje,72.6
292,Breitnersingel,Molenlaankwartier,Pocketpark,73.1
1354,Dirkje Goedhartstraat,s Gravenland,Speelplekje,73.1
11263,Wim Schuhmacherhof,Nesselande,Sport- en Speel,73.3
458,Moliereweg,Lombardijen,Pocketpark,73.4
11313,Rijksweg A20,Terbregge,Centrale Ontmoe,73.7
900,Poolsestraat,Oud Mathenesse,Centrale Ontmoe,73.8
1522,Groen van Prinstererstraat,Bergpolder,Speelplekje,74.1
1265,Koevordermeer,Zevenkamp,Sport- en Speel,74.2
12205,Frederiksplein,Oud Crooswijk,Sport- en Speel,74.2
11706,Koninginnelaan,Rozenburg,Restruimte,74.3
10832,Westerbeekstraat,Hillesluis,Pocketpark,74.3
11840,Argonautenpark,Hillegersberg Noord,Sport- en Speel,74.4
1239,Kornet,Zevenkamp,Speelplekje,74.4
1034,Branco van Dantzigpark,Middelland,Centrale Ontmoe,74.5
11750,Spinozapark,Lombardijen,Pocketpark,74.5
10110,Boezemweg,Rubroek,Sport- en Speel,74.5
11173,Ericaplein,Bloemhof,Sport- en Speel,74.6
1041,Schietbaanlaan,Middelland,Pocketpark,74.7
412,Janne Bouwensstraat,Hillesluis,Pocketpark,74.8
12295,Schuttersweg,Oud Crooswijk,Sport- en Speel,75.1
1295,Sjanghailaan,Oosterflank,Speelplekje,75.5
11780,Bas Jungeriusstraat,Tarwewijk,Restruimte,75.6
11645,Gerard Scholtenstraat,Oude Noorden,Sport- en Speel,75.7
11783,Bas Jungeriusstraat,Tarwewijk,Restruimte,75.7
685,Bartholomeus Everardus Molen,Struisenburg,Pocketpark,75.9
10838,Millinxstraat,Tarwewijk,Sport- en Speel,76.0
10370,Oleanderplein,Bloemhof,Sport- en Speel,76.0
1329,Lilian Ngoyiweg,s Gravenland,Sport- en Speel,76.2
1206,Lentebloem,Ommoord,Pocketpark,76.5
11860,Pendrechtseweg,Zuiderpark,Sport- en Speel,76.5
45,Lage Filterweg,De Esch,Sport- en Speel,76.7
369,Spoorweghaven,Kop van Zuid - Entrepot,Centrale Ontmoe,76.9
12284,Sommelsdijkstraat,Pendrecht,Sport- en Speel,77.2
1416,Jacobusstraat,Cool,Sport- en Speel,77.3
136,Kuipers-Rietbergpad,Hoogvliet Zuid,Speelplekje,77.7
934,Heer Gillisstraat,Kralingen West,Restruimte,77.9
11933,Herenwaard,Groot IJsselmonde,Sport- en Speel,77.9
1162,Weerdesteynstraat,Beverwaard,Pocketpark,78.0
691,Buizenwerf,Struisenburg,Speelplekje,78.0
12171,Herman Costerstraat,Afrikaanderwijk,Pocketpark,78.3
1399,Montessoriweg,Vreewijk,,78.3
10334,Elsbes,Ommoord,Speelplekje,78.4
12278,Pilotenpad,Zestienhoven,Speelplekje,78.4
1115,Crooswijksebocht,Nieuw Crooswijk,Pocketpark,78.6
11911,Dijkgraafstraat,Oud IJsselmonde,Pocketpark,78.7
11309,Verschoorstraat,Tarwewijk,Speelplekje,78.8
968,Louis Couperusstraat,Kralingen West,Pocketpark,79.4
281,Herastraat,Hillegersberg Noord,Speelplekje,79.5
11704,Vincent van Goghstraat,Rozenburg,Sport- en Speel,79.5
10134,Zevenkampse Ring,Zevenkamp,Sport- en Speel,79.6
12270,Plein 1953,Pendrecht,Sport- en Speel,79.7
10136,Boreelstraat,Blijdorp,Restruimte,79.7
10904,Adamshofstraat,Kralingen West,Pocketpark,79.8
335,Roentgenstraat,Feijenoord,Pocketpark,79.9
12253,Spaansebocht,Oud Mathenesse,Speelplekje,80.2
405,Persoonskade,Feijenoord,Sport- en Speel,80.4
1261,Sneekermeer,Zevenkamp,Sport- en Speel,80.8
1081,Contenderstraat,Oud IJsselmonde,Speelplekje,80.8
297,Dirk Swarteveldplein,Schiebroek,Speelplekje,80.8
1467,Bommelerwaard,Groot IJsselmonde,Sport- en Speel,80.9
11728,Voorburgstraat,Liskwartier,Speelplekje,81.4
10953,Stormshoek,Hoogvliet Zuid,Speelplekje,81.6
1267,Kadoelermeer,Zevenkamp,Sport- en Speel,81.8
123,Vorsche,Hoogvliet Zuid,Centrale Ontmoe,82.0
12143,Statenweg,Blijdorp,Centrale Ontmoe,82.1
12033,Berkenhof,Rozenburg,Speelplekje,82.4
